negocio,categoria,estrellas,reseñas,ubicacion,diagnostico,oportunidad,precio_estimado,prioridad,mensaje_propuesto
"Mitras Ferretera","Ferretería",4.5,2,"García","Negocio pequeño, sin sitio web","Landing page con catálogo de productos + WhatsApp cotizaciones + SEO local","$12,000 - $20,000","URGENTE","Hola, busco al encargado. Soy desarrollador web local de García. He visto en Yelp que Mitras Ferretera tiene excelentes reseñas (4.5 estrellas) y que es 'una de las mejores ferreterías'. Noté que no tienen sitio web. Puedo crearles una página con catálogo de productos y WhatsApp para que los clientes pidan cotizaciones. ¿Tienen 5 minutos para platicar?"
"Eléctrica Vasconcelos","Reparaciones eléctricas",4.0,1,"García","Sin presencia digital","Sitio web de servicios técnicos + lista de servicios + formulario cotización + testimonios + WhatsApp emergencias","$12,000 - $25,000","URGENTE","Hola, soy desarrollador web local de García. He visto en Yelp que Eléctrica Vasconcelos tiene excelentes reseñas. Cuando alguien busca 'electricista en García', su negocio no aparece en Google. Puedo crearles un sitio web con lista de servicios, testimonios y formulario de cotización por $12,000 pesos. ¿Te interesa saber más?"
"Carnes G.M.","Carnicería / Abarrotes",4.0,1,"García","Sin web, solo presencia local","Landing page con menú de productos + pedidos online + horarios","$10,000 - $15,000","URGENTE","Hola, soy desarrollador web local de García. He visto en Yelp que Carnes G.M. tiene excelentes reseñas y es un negocio que está creciendo. Noté que no tienen sitio web ni menú de productos visible. Puedo crearles una página con catálogo de productos y WhatsApp para pedidos. ¿Te interesa saber más?"
"Bacik Boutique","Boutique - Ropa femenina",4.6,5,"García","Tiene redes, necesita sitio web profesional","Sitio web de boutique con galería de ropa + catálogo colecciones + formulario reservaciones + integración Instagram","$10,000 - $20,000","MEDIA","Hola, me encantó la ropa de Bacik Boutique - la vi en Yelp. Tiene 4.6 estrellas y comentarios muy buenos. Noté que no tienen sitio web donde las personas puedan ver las colecciones antes de venir. Tengo una propuesta especial para boutiques de la zona: página web con galería de fotos y WhatsApp por $10,000 pesos. ¿Te interesa saber más?"
"Mia Paluzzi","Boutique - Vestidos de fiesta",4.2,5,"García","Sin sitio web profesional","Sitio web especializado en vestidos de fiesta + galería + formulario reservas","$10,000 - $20,000","MEDIA","Hola, soy desarrollador web local. He visto que Mia Paluzzi tiene excelentes reseñas en Yelp especializada en vestidos de fiesta. Tengo una propuesta especial para boutiques: página web con galería de vestidos y WhatsApp por $10,000 pesos. ¿Te interesa saber más?"
"New New","Boutique - Ropa de fiesta/antro",4.3,3,"García","Sin web, solo redes","Landing page con galería de moda + WhatsApp","$8,000 - $15,000","MEDIA","Hola, soy desarrollador web local de García. He visto en Yelp que New New tiene excelentes reseñas y ropa muy moderna. Noté que no tienen sitio web donde las personas puedan ver la ropa nueva antes de venir. Tengo una propuesta especial para boutiques de la zona. ¿Te interesa saber más?"
"Blessun Boutique","Boutique - Ropa femenina",5.0,1,"García - Plaza Leones","Sin web","Sitio web para boutique con 5 estrellas + galería + ubicación plaza","$10,000 - $15,000","MEDIA","Hola, soy desarrollador web local de García. He visto que Blessun Boutique tiene 5 estrellas en Yelp y excelente ubicación en Plaza Leones. Noté que no tienen sitio web. Tengo una propuesta especial para boutiques de la zona. ¿Te interesa saber más?"
"Bazar San Javier","Bazar / Casa y jardín",4.0,1,"Centro de Monterrey","Bazar grande, ya establecido","Evaluación requerida - posible rediseño","$5,000 - $10,000","BAJO","Hola, soy desarrollador web local. He visto que Bazar San Javier tiene 20 años de historia en Monterrey. Me gustaría saber si tienen interés en actualizar su presencia digital. ¿Te interesa saber más?"
"Crios","Ropa infantil",5.0,1,"Norte del país","Posible e-commerce ya existente","Evaluación requerida","$5,000 - $8,000","BAJO","Hola, soy desarrollador web. He visto que Crios tiene excelentes reseñas en Yelp. Me gustaría saber si tienen interés en mejorar su presencia digital. ¿Te interesa saber más?"
"Office Digit","Servicios de impresión / Estampado",5.0,1,"García","Negocio de servicios especializados","Landing page de servicios + formulario cotización + WhatsApp urgencias","$8,000 - $12,000","BAJO","Hola, soy desarrollador web local de García. He visto en Yelp que Office Digit tiene excelentes reseñas y ayudan mucho con impresiones urgentes. Noté que no tienen sitio web para recibir cotizaciones online. Puedo crearles una página con formulario y WhatsApp por $8,000 pesos. ¿Te interesa saber más?"